Code Région;Population;Population en 2019;Densité de la population (nombre d'habitants au km²) en 2019;Superficie en 2019, en km²;Variation de la population : taux annuel moyen entre 2013 et 2019, en %;dont variation due au solde naturel : taux annuel moyen entre 2013 et 2019, en %;dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2013 et 2019, en %;Nombre de ménages en 2019;Naissances domiciliées en 2021;Décès domiciliés en 2021 ;Nombre total de logements en 2019;Part des résidences principales en 2019, en %;Part des résidences secondaires (y compris les logements occasionnels) en 2019, en %;Part des logements vacants en 2019, en %;Part des ménages propriétaires de leur résidence principale en 2019, en %;Nombre de ménages fiscaux en 2019;Part des ménages fiscaux imposés en 2019, en %;Médiane du revenu disponible par unité de consommation en 2019, en euros;Taux de pauvreté en 2019, en %;Emploi total (salarié et non salarié) au lieu de travail en 2019;dont part de l'emploi salarié au lieu de travail en 2019, en %;Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2013 et 2019, en %;Taux d'activité des 15 à 64 ans en 2019;Taux de chômage des 15 à 64 ans en 2019;Nombre d'établissements actifs fin 2019;Part de l'agriculture, en %;Part de l'industrie, en %;Part de la construction, en %;Part du commerce, transports et services divers, en %;dont commerce et réparation automobile, en %;Part de l'administration publique, enseignement, santé et action sociale, en %;Part des établissements de 1 à 9 salariés, en %;Part des établissements de 10 salariés ou plus, en %
52;Pays de la Loire;3806461;118.6;32081.8;0.7;0.2;0.4;1695106;40227;37494;2046976;82.8;10.7;6.5;64.1;1642803;55.2;21850;10.7;1557407;87.5;0.6;75.8;11.2;117650;7;7.8;10.6;61.6;18.5;13;70.1;20.7
75;Nouvelle-Aquitaine;6010289;71.5;84035.7;0.5;–0,1;0.6;2822186;54195;69825;3554086;79.4;12.1;8.5;62.3;2706556;54.3;21540;13.4;2365384;84.2;0.4;74.3;12.7;210920;8;7.1;10.7;60.2;19.5;13.9;72.6;17.2
84;Auvergne-Rhône-Alpes;8042936;115.4;69711.1;0.6;0.3;0.3;3606379;87312;73931;4527759;79.7;11.8;8.6;58.8;3434965;58.3;22610;12.8;3247769;86;0.4;75.4;11.5;280083;3;8.2;11.3;64.8;19.6;12.6;71.6;18.9
27;Bourgogne-Franche-Comté;2805580;58.7;47783.3;–0,1;–0,0;–0,1;1299484;25429;31660;1579458;82.3;7.5;10.2;63.1;1240046;55.9;21640;12.8;1072327;86.7;–0,4;74.3;12.1;90016;7.5;8.6;10.1;56.1;19;17.7;73.8;18.3
53;Bretagne;3354854;123.3;27207.9;0.5;–0,0;0.5;1549542;32065;37097;1954775;79.3;13.3;7.5;66.1;1490113;55.4;21990;10.7;1329612;86;0.4;73.8;11.4;106799;7.9;7.2;10.5;62.1;19.3;12.3;71.3;18.9
24;Centre-Val de Loire;2573180;65.7;39150.9;0;0.1;–0,0;1167463;25607;28913;1397845;83.5;6.3;10.2;63.9;1131828;56.6;21710;13;976032;87.8;–0,2;75.1;12.6;78191;7.3;7.9;11.2;58.5;18.2;15.1;72.4;19
94;Corse;340440;39.2;8679.8;1;–0,1;1.1;151411;2728;3617;255545;59.3;37.7;3.1;55.3;126908;54.7;20950;18;134360;80.3;1;71.9;11.9;17401;4.1;5.6;14;65.8;19.7;10.5;68.9;12.7
44;Grand Est;5556219;96.7;57440.8;0;0.1;–0,1;2498232;53113;57397;2874619;86.9;3.6;9.5;58.6;2366349;55;21800;14.7;2073968;88.6;–0,3;73.6;13.4;171003;7.4;7.7;10.3;57.6;19.3;16.9;72.8;18.9
1;Guadeloupe;384239;236;1628.4;–0,8;0.4;–1,1;173432;4344;4589;231840;74.8;9.7;15.5;58.7;;;;;125166;80.5;–0,5;70.7;28.7;12465;2.3;9.6;9.8;64.6;22.6;13.7;72.5;17.1
3;Guyane;281678;3.4;83533.9;2.4;2.4;–0,0;82045;8127;1365;94768;86.6;2.7;10.7;41.9;;;;;72341;83.9;2.2;61.9;34.1;5389;1.9;9.8;11.4;62.2;20.4;14.8;68.9;20
32;Hauts-de-France;6004947;188.8;31806.1;0;0.3;–0,3;2561385;65528;60566;2901722;88.3;3.8;8;57.5;2459959;51.6;20360;17.6;2122371;89.8;–0,1;71.4;16.4;155012;5.7;7;9.8;60.6;19.8;16.9;70.7;20.6
4;La Réunion;861210;344;2503.7;0.5;1.1;–0,6;338066;13470;5750;383878;88.1;3;9;50.5;322669;33.3;15890;37.2;265668;85;1.2;69.3;32.9;24048;4.5;7.8;11.3;60.8;20.8;15.6;71.3;17.4
2;Martinique;364508;323.1;1128;–0,9;0.2;–1,1;166994;3627;4642;214788;77.7;6.5;15.8;54.7;149292;39.2;18570;27.4;129392;84.3;–0,2;71.7;23.2;11690;3.2;8.5;9.4;65.3;20.9;13.6;70.9;18.6
28;Normandie;3325032;111.3;29875.1;–0,0;0.1;–0,1;1500917;33271;36632;1834668;81.8;9.9;8.2;58.5;1438006;54.8;21380;13.3;1271553;87.8;–0,2;73.6;13.3;101793;8;7.2;10.2;59.5;18.9;15.1;72.7;18.6
76;Occitanie;5933185;81.6;72723.6;0.7;0.1;0.7;2761398;58474;64613;3630251;76.1;15.5;8.4;59;2623383;52.3;20980;16.8;2257606;83;0.7;73;14.6;207566;5.4;6.6;11.2;62.9;19.9;14;71.9;16.4
93;Provence-Alpes-Côte d'Azur;5081101;161.8;31399.8;0.4;0.2;0.2;2331480;55664;58163;3128326;74.5;17.8;7.7;54.5;2275217;57.2;21590;17.1;1928428;83.6;0.3;72.5;14.1;198099;3.2;5.6;11.7;68.7;20.8;10.8;72.4;15.1
11;Île-de-France;12262544;1020.8;12012.3;0.4;0.9;–0,4;5256723;167066;82484;5894912;89.2;4;6.9;47.1;5001831;69.2;24060;15.5;5785669;88.9;0.3;76.4;12.2;461365;0.4;4;10;76.5;17.7;9.1;71.4;18.3
